event_id,timestamp,employee_id,employee_name,role,store_id,action_type,amount,order_id,customer_ref,payment_method,original_txn_id,discount_pct,note
evt-0000146,2026-06-04T08:05:39,EMP-1004,Kwame Novak,Cashier,6,sale,19.16,ORD-330134,CUST-10048,wallet,,0.0,
evt-0000156,2026-06-04T08:38:42,EMP-1004,Kwame Novak,Cashier,6,sale,9.01,ORD-517469,CUST-10298,cash,,0.0,
evt-0000160,2026-06-04T08:40:23,EMP-1004,Kwame Novak,Cashier,6,sale,39.34,ORD-928278,CUST-10214,card,,0.0,
evt-0000158,2026-06-04T08:41:39,EMP-1004,Kwame Novak,Cashier,6,sale,20.03,ORD-234062,CUST-10241,cash,,0.0,
evt-0000151,2026-06-04T08:42:59,EMP-1004,Kwame Novak,Cashier,6,sale,42.77,ORD-853691,CUST-10043,wallet,,0.0,
evt-0000153,2026-06-04T08:43:06,EMP-1004,Kwame Novak,Cashier,6,sale,27.73,ORD-940172,CUST-10235,wallet,,0.0,
evt-0000340,2026-06-04T08:46:29,EMP-1013,Mei Ricci,Shift Supervisor,6,sale,21.89,ORD-829814,CUST-10043,card,,0.0,
evt-0000161,2026-06-04T08:57:54,EMP-1004,Kwame Novak,Cashier,6,sale,22.29,ORD-566900,CUST-10072,card,,0.0,
evt-0000333,2026-06-04T09:06:56,EMP-1013,Mei Ricci,Shift Supervisor,6,sale,12.33,ORD-955765,CUST-10371,card,,0.0,
evt-0000165,2026-06-04T09:14:41,EMP-1004,Kwame Novak,Cashier,6,sale,43.17,ORD-320238,CUST-10147,card,,0.0,
evt-0000144,2026-06-04T09:18:58,EMP-1004,Kwame Novak,Cashier,6,sale,35.77,ORD-671156,CUST-10201,wallet,,0.0,
evt-0000396,2026-06-04T09:19:26,EMP-1017,Idris Adeyemi,Store Manager,6,sale,174.06,ORD-374567,CUST-10219,card,,0.0,
evt-0000170,2026-06-04T09:34:11,EMP-1004,Kwame Novak,Cashier,6,discount,27.55,ORD-716940,CUST-10225,card,,15.8,
evt-0000361,2026-06-04T09:35:46,EMP-1013,Mei Ricci,Shift Supervisor,6,void,134.64,ORD-924863,,card,evt-0000329,0.0,
evt-0000164,2026-06-04T09:47:29,EMP-1004,Kwame Novak,Cashier,6,sale,22.89,ORD-972042,CUST-10119,card,,0.0,
evt-0000330,2026-06-04T09:48:02,EMP-1013,Mei Ricci,Shift Supervisor,6,sale,16.94,ORD-668564,CUST-10259,card,,0.0,
evt-0000349,2026-06-04T09:48:12,EMP-1013,Mei Ricci,Shift Supervisor,6,sale,18.62,ORD-856046,CUST-10293,card,,0.0,
