event_id,timestamp,employee_id,employee_name,role,store_id,action_type,amount,order_id,customer_ref,payment_method,original_txn_id,discount_pct,note
evt-0000258,2026-04-21T08:11:25,EMP-1020,Idris Klein,Store Manager,STORE-A,sale,39.88,ORD-548907,CUST-10243,card,,0.0,
evt-0000146,2026-04-21T08:38:51,EMP-1011,Idris Mensah,Shift Supervisor,STORE-A,sale,19.53,ORD-926385,CUST-10037,card,,0.0,
evt-0000132,2026-04-21T08:53:15,EMP-1011,Idris Mensah,Shift Supervisor,STORE-A,sale,24.04,ORD-399177,CUST-10069,card,,0.0,
evt-0000253,2026-04-21T09:03:08,EMP-1020,Idris Klein,Store Manager,STORE-A,sale,72.73,ORD-220870,CUST-10154,card,,0.0,
evt-0000261,2026-04-21T09:17:34,EMP-1020,Idris Klein,Store Manager,STORE-A,refund,38.87,ORD-285311,CUST-10235,card,evt-0000251,0.0,
evt-0000205,2026-04-21T09:19:25,EMP-1016,Ravi Byrne,Store Manager,STORE-A,sale,46.34,ORD-995079,CUST-10163,card,,0.0,
evt-0000144,2026-04-21T09:23:13,EMP-1011,Idris Mensah,Shift Supervisor,STORE-A,sale,32.05,ORD-975391,CUST-10058,cash,,0.0,
evt-0000133,2026-04-21T09:28:40,EMP-1011,Idris Mensah,Shift Supervisor,STORE-A,sale,9.51,ORD-807960,CUST-10199,card,,0.0,
evt-0000215,2026-04-21T09:32:30,EMP-1016,Ravi Byrne,Store Manager,STORE-A,refund,31.09,ORD-743970,CUST-10008,card,evt-0000212,0.0,
evt-0000145,2026-04-21T09:43:29,EMP-1011,Idris Mensah,Shift Supervisor,STORE-A,sale,28.54,ORD-737470,CUST-10063,card,,0.0,
evt-0000206,2026-04-21T09:52:44,EMP-1016,Ravi Byrne,Store Manager,STORE-A,sale,17.58,ORD-204668,CUST-10364,card,,0.0,
evt-0000131,2026-04-21T10:05:46,EMP-1011,Idris Mensah,Shift Supervisor,STORE-A,sale,38.51,ORD-749343,CUST-10242,cash,,0.0,
evt-0000242,2026-04-21T10:06:10,EMP-1018,Lucia Barros,Store Manager,STORE-A,sale,40.86,ORD-499699,CUST-10301,card,,0.0,
evt-0000054,2026-04-21T10:12:57,EMP-1004,Yusuf Ferrari,Cashier,STORE-A,sale,24.0,ORD-482411,CUST-10297,card,,0.0,
