event_id,timestamp,employee_id,employee_name,role,store_id,action_type,amount,order_id,customer_ref,payment_method,original_txn_id,discount_pct,note
evt-0000222,2026-05-25T08:46:41,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,12.41,ORD-309553,CUST-10169,card,,0.0,
evt-0000228,2026-05-25T08:52:47,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,31.26,ORD-847176,CUST-10305,card,,0.0,
evt-0000220,2026-05-25T08:59:42,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,11.26,ORD-752937,CUST-10248,card,,0.0,
evt-0000245,2026-05-25T09:13:45,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,113.25,ORD-941543,CUST-10145,card,,0.0,
evt-0000246,2026-05-25T09:27:25,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,refund,9.13,ORD-671649,CUST-10140,card,evt-0000240,0.0,
evt-0000225,2026-05-25T09:57:43,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,10.39,ORD-142069,CUST-10062,card,,0.0,
evt-0000280,2026-05-25T10:02:32,EMP-1015,Leila Farah,Store Manager,STORE-B,sale,16.86,ORD-409361,CUST-10336,card,,0.0,
evt-0000257,2026-05-25T10:10:06,EMP-1013,Ines Voss,Store Manager,STORE-B,sale,68.95,ORD-429045,CUST-10019,cash,,0.0,
evt-0000303,2026-05-25T10:14:54,EMP-1016,Theo Duarte,Store Manager,STORE-B,sale,63.98,ORD-653977,CUST-10231,card,,0.0,
evt-0000311,2026-05-25T10:19:40,EMP-1016,Theo Duarte,Store Manager,STORE-B,discount,27.71,ORD-967542,CUST-10336,card,,9.1,
evt-0000163,2026-05-25T10:25:54,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,16.87,ORD-179427,CUST-10253,cash,,0.0,
evt-0000264,2026-05-25T10:33:41,EMP-1013,Ines Voss,Store Manager,STORE-B,refund,30.55,ORD-203412,CUST-10286,card,evt-0000259,0.0,
evt-0000145,2026-05-25T10:38:37,EMP-1008,Amara Chan,Returns Desk,STORE-B,refund,60.39,ORD-681025,CUST-10012,card,evt-0000135,0.0,
evt-0000039,2026-05-25T10:41:15,EMP-1002,Priya Byrne,Cashier,STORE-B,sale,31.9,ORD-538177,CUST-10112,card,,0.0,
evt-0000148,2026-05-25T10:44:29,EMP-1008,Amara Chan,Returns Desk,STORE-B,manual_override,37.11,ORD-308280,,card,,0.0,price override
evt-0000003,2026-05-25T10:44:55,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,19.78,ORD-242135,CUST-10246,cash,,0.0,
evt-0000142,2026-05-25T10:54:07,EMP-1008,Amara Chan,Returns Desk,STORE-B,refund,27.04,ORD-165292,CUST-10129,card,evt-0000126,0.0,
evt-0000272,2026-05-25T10:57:59,EMP-1014,Theo Chan,Store Manager,STORE-B,sale,57.62,ORD-744790,CUST-10016,card,,0.0,
evt-0000308,2026-05-25T11:00:23,EMP-1016,Theo Duarte,Store Manager,STORE-B,void,19.3,ORD-904368,,card,evt-0000300,0.0,
evt-0000012,2026-05-25T11:03:22,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,82.32,ORD-378071,CUST-10331,card,,0.0,
evt-0000161,2026-05-25T11:03:27,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,28.41,ORD-166901,CUST-10256,cash,,0.0,
evt-0000226,2026-05-25T11:09:40,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,25.8,ORD-114905,CUST-10080,card,,0.0,
evt-0000162,2026-05-25T11:12:44,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,10.94,ORD-930989,CUST-10184,card,,0.0,
evt-0000137,2026-05-25T11:15:01,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,37.72,ORD-329439,CUST-10013,wallet,,0.0,
evt-0000002,2026-05-25T11:16:17,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,24.94,ORD-994569,CUST-10268,card,,0.0,
evt-0000210,2026-05-25T11:19:32,EMP-1011,Kwame Ricci,Shift Supervisor,STORE-B,sale,12.22,ORD-991025,CUST-10220,card,,0.0,
evt-0000143,2026-05-25T11:20:02,EMP-1008,Amara Chan,Returns Desk,STORE-B,refund,51.04,ORD-128894,CUST-10132,card,evt-0000124,0.0,
evt-0000172,2026-05-25T11:20:36,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,24.81,ORD-109936,CUST-10200,card,,0.0,
evt-0000066,2026-05-25T11:23:19,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,28.2,ORD-423732,CUST-10042,card,,0.0,
evt-0000304,2026-05-25T11:23:40,EMP-1016,Theo Duarte,Store Manager,STORE-B,sale,83.1,ORD-349870,CUST-10050,card,,0.0,
evt-0000167,2026-05-25T11:25:59,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,30.27,ORD-962571,CUST-10171,card,,0.0,
evt-0000120,2026-05-25T11:31:01,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,23.2,ORD-417184,CUST-10234,cash,,0.0,
evt-0000234,2026-05-25T11:32:37,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,33.12,ORD-328723,CUST-10382,card,,0.0,
evt-0000242,2026-05-25T11:33:17,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,34.64,ORD-402870,CUST-10342,card,,0.0,
evt-0000299,2026-05-25T11:40:38,EMP-1016,Theo Duarte,Store Manager,STORE-B,sale,50.89,ORD-811213,CUST-10078,card,,0.0,
evt-0000121,2026-05-25T11:41:14,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,16.02,ORD-838816,CUST-10356,card,,0.0,
evt-0000017,2026-05-25T11:41:57,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,11.72,ORD-929027,CUST-10069,cash,,0.0,
evt-0000122,2026-05-25T11:42:44,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,23.67,ORD-907721,CUST-10213,wallet,,0.0,
evt-0000262,2026-05-25T11:43:01,EMP-1013,Ines Voss,Store Manager,STORE-B,sale,13.81,ORD-528433,CUST-10214,card,,0.0,
evt-0000158,2026-05-25T11:43:10,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,31.73,ORD-799822,CUST-10059,cash,,0.0,
evt-0000043,2026-05-25T11:44:52,EMP-1002,Priya Byrne,Cashier,STORE-B,sale,13.33,ORD-157016,CUST-10297,card,,0.0,
evt-0000176,2026-05-25T11:45:58,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,manual_override,15.14,ORD-698643,,card,,0.0,price override
evt-0000223,2026-05-25T11:50:15,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,51.62,ORD-690940,CUST-10120,cash,,0.0,
evt-0000072,2026-05-25T11:52:10,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,13.08,ORD-390949,CUST-10282,card,,0.0,
evt-0000013,2026-05-25T11:52:21,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,62.12,ORD-554470,CUST-10134,card,,0.0,
evt-0000235,2026-05-25T11:52:29,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,7.72,ORD-122926,CUST-10125,cash,,0.0,
evt-0000086,2026-05-25T11:53:38,EMP-1003,Priya Zahra,Cashier,STORE-B,sale,25.77,ORD-613506,CUST-10110,card,,0.0,
evt-0000154,2026-05-25T11:55:04,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,73.0,ORD-416390,CUST-10186,card,,0.0,
evt-0000111,2026-05-25T11:57:14,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,27.13,ORD-206940,CUST-10371,card,,0.0,
evt-0000117,2026-05-25T12:02:01,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,21.53,ORD-201655,CUST-10199,card,,0.0,
evt-0000307,2026-05-25T12:02:37,EMP-1016,Theo Duarte,Store Manager,STORE-B,refund,32.0,ORD-278319,CUST-10150,card,evt-0000295,0.0,
evt-0000276,2026-05-25T12:03:03,EMP-1014,Theo Chan,Store Manager,STORE-B,sale,37.13,ORD-589718,CUST-10203,card,,0.0,
evt-0000301,2026-05-25T12:04:08,EMP-1016,Theo Duarte,Store Manager,STORE-B,sale,14.99,ORD-864841,CUST-10376,card,,0.0,
evt-0000044,2026-05-25T12:04:38,EMP-1002,Priya Byrne,Cashier,STORE-B,sale,7.76,ORD-773039,CUST-10186,card,,0.0,
evt-0000237,2026-05-25T12:05:27,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,sale,267.51,ORD-910180,CUST-10309,card,,0.0,
evt-0000130,2026-05-25T12:10:29,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,22.8,ORD-407652,CUST-10315,wallet,,0.0,
evt-0000184,2026-05-25T12:11:38,EMP-1010,Sam Byrne,Shift Supervisor,STORE-B,sale,77.71,ORD-447671,CUST-10210,card,,0.0,
evt-0000152,2026-05-25T12:12:20,EMP-1009,Mei Lindqvist,Shift Supervisor,STORE-B,sale,22.19,ORD-914616,CUST-10165,cash,,0.0,
evt-0000024,2026-05-25T12:12:45,EMP-1001,Amara Zahra,Cashier,STORE-B,sale,8.14,ORD-814056,CUST-10010,cash,,0.0,
evt-0000129,2026-05-25T12:16:44,EMP-1008,Amara Chan,Returns Desk,STORE-B,sale,41.49,ORD-925648,CUST-10346,wallet,,0.0,
evt-0000194,2026-05-25T12:18:50,EMP-1010,Sam Byrne,Shift Supervisor,STORE-B,sale,4.94,ORD-754407,CUST-10169,cash,,0.0,
evt-0000248,2026-05-25T12:19:47,EMP-1012,Idris Nair,Shift Supervisor,STORE-B,void,23.41,ORD-288249,,card,evt-0000220,0.0,
